customer_id,signup_date,last_activity_date,last_purchase_date,total_spent,avg_cart_value,num_visits_30d,num_purchases_90d,days_since_last_purchase,preferred_device,city,country,is_purchased_next_30
C100047,2021-11-20,2023-06-20,,0.0,0.0,1,0,1349,mobile,Galle,Sri Lanka,0
C100048,2020-07-28,2020-09-29,2020-08-23,114.29,56.9,1,1,1803,mobile,Galle,Sri Lanka,0
C100049,2020-07-08,2020-12-09,2020-08-13,148.5,56.18,0,0,1813,mobile,Colombo,Sri Lanka,0
C100050,2022-02-17,2024-03-28,2023-12-04,248.43,62.45,0,2,605,mobile,Kandy,Sri Lanka,0
C100051,2020-07-17,2022-06-30,2021-04-20,289.75,38.95,0,1,1563,mobile,Galle,Sri Lanka,1
C100052,2022-01-05,2023-11-19,,0.0,0.0,3,0,1303,mobile,Negombo,Sri Lanka,0
C100053,2021-12-05,2022-03-14,,0.0,0.0,0,0,1334,mobile,Kandy,Sri Lanka,0
C100054,2023-05-21,2023-08-16,,0.0,0.0,2,0,802,tablet,Matara,Sri Lanka,0
C100055,2021-06-25,2023-05-10,2022-12-12,153.9,44.91,2,1,962,tablet,Galle,Sri Lanka,0
C100056,2024-07-10,2025-06-27,,0.0,0.0,2,0,386,mobile,Kandy,Sri Lanka,0
C100057,2020-03-29,2022-07-04,2021-07-03,109.04,51.84,1,1,1489,desktop,Colombo,Sri Lanka,0
C100058,2024-02-03,2025-08-10,,0.0,0.0,5,0,544,mobile,Negombo,Sri Lanka,1
C100059,2022-07-29,2023-09-25,,0.0,0.0,2,0,1098,tablet,Galle,Sri Lanka,0
C100060,2023-01-03,2025-09-23,,0.0,0.0,3,0,940,desktop,Anuradhapura,Sri Lanka,1
C100061,2020-09-12,2022-10-26,,0.0,0.0,6,0,1783,mobile,Kurunegala,Sri Lanka,0
C100062,2022-02-14,2023-10-10,,0.0,0.0,2,0,1263,mobile,Galle,Sri Lanka,0
C100063,2020-06-10,2021-01-28,2020-09-23,159.63,82.52,3,3,1772,desktop,Jaffna,Sri Lanka,1
C100064,2023-02-04,2024-08-23,,0.0,0.0,2,0,908,mobile,Colombo,Sri Lanka,1
C100065,2021-08-23,2021-10-24,2021-09-07,81.63,39.61,3,2,1423,mobile,Jaffna,Sri Lanka,0
C100066,2023-07-11,2025-11-17,2024-01-05,122.75,59.35,2,1,573,mobile,Anuradhapura,Sri Lanka,1
C100067,2023-06-20,2024-07-20,2024-04-27,49.98,34.72,1,2,460,mobile,Colombo,Sri Lanka,1
C100068,2022-01-10,2024-04-27,2023-12-19,27.81,23.82,1,0,590,mobile,Kandy,Sri Lanka,0
C100069,2023-03-28,2024-09-13,,0.0,0.0,0,0,856,mobile,Matara,Sri Lanka,0
C100070,2021-01-28,2022-04-01,2021-02-16,294.22,42.75,1,2,1626,mobile,Negombo,Sri Lanka,0
C100071,2023-12-13,2026-08-27,2025-08-14,111.88,40.58,3,0,-14,mobile,Anuradhapura,Sri Lanka,0
C100072,2020-05-22,2021-11-21,2020-11-22,103.4,29.87,1,0,1712,mobile,Colombo,Sri Lanka,0
C100073,2020-04-03,2022-03-07,,0.0,0.0,4,0,1945,mobile,Colombo,Sri Lanka,0
C100074,2023-09-16,2026-02-19,,0.0,0.0,1,0,684,mobile,Colombo,Sri Lanka,0
C100075,2021-04-11,2023-11-25,,0.0,0.0,3,0,1572,mobile,Matara,Sri Lanka,0
C100076,2024-05-02,2025-08-31,2025-05-04,41.91,16.55,1,0,88,mobile,Jaffna,Sri Lanka,0
C100077,2021-08-15,2023-03-24,2023-01-08,112.52,40.22,1,3,935,mobile,Jaffna,Sri Lanka,0
C100078,2020-06-12,2022-12-01,2022-02-28,77.89,26.85,2,0,1249,mobile,Kurunegala,Sri Lanka,0
C100079,2021-04-21,2021-12-18,,0.0,0.0,2,0,1562,mobile,Jaffna,Sri Lanka,0
C100080,2020-07-25,2021-11-24,2021-11-23,55.97,65.13,4,0,1346,desktop,Jaffna,Sri Lanka,0
C100081,2022-02-17,2022-12-20,,0.0,0.0,1,0,1260,desktop,Kandy,Sri Lanka,0
C100082,2021-07-23,2021-10-11,2021-08-03,45.31,33.46,2,2,1458,desktop,Colombo,Sri Lanka,1
C100083,2022-07-17,2023-08-25,,0.0,0.0,3,0,1110,mobile,Matara,Sri Lanka,0
C100084,2023-07-25,2026-02-03,2025-04-27,89.61,45.37,4,0,95,desktop,Colombo,Sri Lanka,1
C100085,2022-01-17,2024-06-09,,0.0,0.0,1,0,1291,mobile,Colombo,Sri Lanka,0
C100086,2020-11-29,2022-11-30,2021-10-03,308.63,78.53,1,0,1397,mobile,Kurunegala,Sri Lanka,0
C100087,2022-01-28,2022-03-04,2022-02-19,216.33,65.75,1,0,1258,desktop,Jaffna,Sri Lanka,0
C100088,2021-12-28,2023-05-26,2023-03-01,67.36,34.8,1,3,883,desktop,Kandy,Sri Lanka,1
C100089,2021-03-05,2022-10-10,2021-03-09,84.57,48.61,6,1,1605,mobile,Jaffna,Sri Lanka,0
C100090,2023-10-04,2026-04-13,2025-04-27,206.74,97.87,2,2,95,desktop,Kandy,Sri Lanka,0
C100091,2021-06-30,2022-12-11,2022-02-26,127.32,41.84,1,1,1251,desktop,Galle,Sri Lanka,0
C100092,2023-12-08,2026-03-06,2024-06-21,88.01,36.46,1,1,405,mobile,Galle,Sri Lanka,1
C100093,2023-10-31,2025-06-07,2024-02-28,313.71,81.98,1,0,519,mobile,Colombo,Sri Lanka,0
C100094,2023-08-20,2025-07-13,2025-02-12,60.55,67.53,0,1,169,mobile,Matara,Sri Lanka,0
C100095,2020-05-26,2022-02-20,,0.0,0.0,1,0,1892,mobile,Kandy,Sri Lanka,1
C100096,2023-06-01,2023-10-29,2023-06-25,46.93,72.77,1,1,767,desktop,Kurunegala,Sri Lanka,1
C100097,2023-07-24,2023-11-24,,0.0,0.0,1,0,738,mobile,Kurunegala,Sri Lanka,0
C100098,2020-12-16,2023-08-15,2022-09-10,56.17,5.0,1,1,1055,mobile,Jaffna,Sri Lanka,0
C100099,2022-12-29,2025-02-11,2024-01-03,202.01,20.56,3,0,575,desktop,Jaffna,Sri Lanka,0
C100100,2024-02-02,2025-05-06,2025-04-18,86.45,59.26,0,0,104,mobile,Matara,Sri Lanka,0
C100101,2021-05-16,2021-11-09,2021-10-01,126.04,20.17,2,1,1399,mobile,Matara,Sri Lanka,0
C100102,2020-11-30,2023-07-29,2022-05-03,394.01,28.67,4,0,1185,mobile,Kandy,Sri Lanka,1
C100103,2022-08-04,2023-01-22,2022-09-29,133.34,48.42,1,2,1036,mobile,Jaffna,Sri Lanka,0
C100104,2022-02-16,2024-11-07,2023-06-06,66.14,41.32,0,2,786,desktop,Jaffna,Sri Lanka,1
C100105,2021-07-06,2022-02-07,,0.0,0.0,3,0,1486,mobile,Kandy,Sri Lanka,0
C100106,2023-08-03,2025-11-07,2025-09-29,90.15,55.35,2,0,-60,mobile,Kurunegala,Sri Lanka,0
C100107,2023-11-10,2024-05-25,,0.0,0.0,2,0,629,desktop,Kurunegala,Sri Lanka,0
C100108,2023-02-14,2023-06-23,,0.0,0.0,1,0,898,mobile,Galle,Sri Lanka,0
C100109,2021-03-25,2021-05-07,2021-05-04,112.15,30.49,0,1,1549,desktop,Colombo,Sri Lanka,1
C100110,2023-11-03,2025-01-09,2024-10-05,161.67,59.16,2,2,299,mobile,Matara,Sri Lanka,0
C100111,2021-10-26,2022-01-14,,0.0,0.0,1,0,1374,desktop,Kurunegala,Sri Lanka,0
C100112,2024-04-22,2026-03-22,,0.0,0.0,4,0,465,mobile,Colombo,Sri Lanka,0
C100113,2024-05-08,2025-07-27,,0.0,0.0,1,0,449,desktop,Matara,Sri Lanka,0
C100114,2020-04-24,2020-11-16,2020-06-16,146.48,33.75,5,0,1871,desktop,Jaffna,Sri Lanka,0
C100115,2021-04-14,2023-08-04,2022-01-22,213.72,16.9,0,0,1286,mobile,Anuradhapura,Sri Lanka,0
C100116,2020-03-06,2021-12-08,,0.0,0.0,0,0,1973,mobile,Jaffna,Sri Lanka,0
C100117,2024-07-06,2024-12-04,,0.0,0.0,3,0,390,mobile,Kandy,Sri Lanka,0
C100118,2021-10-08,2024-02-09,,0.0,0.0,0,0,1392,mobile,Negombo,Sri Lanka,0
C100119,2022-04-01,2023-12-01,,0.0,0.0,4,0,1217,mobile,Kurunegala,Sri Lanka,0
C100120,2021-07-02,2022-03-23,,0.0,0.0,3,0,1490,mobile,Colombo,Sri Lanka,0
C100121,2020-05-15,2021-04-07,2020-06-11,66.91,55.02,1,0,1876,tablet,Kandy,Sri Lanka,1
C100122,2021-03-08,2023-09-26,2021-09-22,92.19,64.69,2,2,1408,mobile,Jaffna,Sri Lanka,0
C100123,2023-03-07,2025-03-20,,0.0,0.0,1,0,877,mobile,Matara,Sri Lanka,0
C100124,2024-01-10,2026-08-03,2024-05-04,198.98,40.72,5,0,453,desktop,Negombo,Sri Lanka,0
C100125,2021-10-06,2024-01-10,2023-12-30,214.25,49.06,2,2,579,tablet,Anuradhapura,Sri Lanka,0
C100126,2021-03-11,2021-05-18,,0.0,0.0,3,0,1603,mobile,Kandy,Sri Lanka,0
C100127,2023-09-04,2023-12-02,2023-09-23,179.02,14.69,2,0,677,mobile,Galle,Sri Lanka,0
C100128,2022-10-19,2023-11-20,2023-10-04,148.93,71.48,8,1,666,desktop,Negombo,Sri Lanka,0
C100129,2022-03-21,2023-10-11,2023-07-19,298.9,22.36,1,0,743,desktop,Kandy,Sri Lanka,0
C100130,2023-08-09,2024-09-18,2024-04-19,246.03,40.49,3,0,468,mobile,Kurunegala,Sri Lanka,0
C100131,2022-07-28,2024-02-13,,0.0,0.0,0,0,1099,mobile,Matara,Sri Lanka,0
C100132,2020-10-19,2021-09-17,,0.0,0.0,3,0,1746,desktop,Galle,Sri Lanka,0
C100133,2021-06-26,2023-11-20,2021-12-23,78.37,45.07,2,0,1316,desktop,Kurunegala,Sri Lanka,1
C100134,2020-10-12,2021-07-21,,0.0,0.0,2,0,1753,mobile,Galle,Sri Lanka,0
C100135,2021-05-20,2022-11-03,2021-10-30,71.35,59.64,3,1,1370,desktop,Kurunegala,Sri Lanka,0
C100136,2024-03-05,2025-06-17,2025-02-11,44.34,66.6,2,1,170,mobile,Anuradhapura,Sri Lanka,0
C100137,2023-02-23,2025-09-19,,0.0,0.0,1,0,889,mobile,Kandy,Sri Lanka,0
C100138,2023-01-08,2025-06-20,,0.0,0.0,1,0,935,desktop,Kurunegala,Sri Lanka,1
C100139,2021-06-22,2021-07-04,2021-06-22,263.39,51.85,0,4,1500,mobile,Colombo,Sri Lanka,0
C100140,2024-03-09,2026-05-23,,0.0,0.0,1,0,509,desktop,Anuradhapura,Sri Lanka,0
C100141,2023-04-12,2025-03-29,2023-06-06,51.44,54.14,2,0,786,mobile,Matara,Sri Lanka,0
C100142,2022-05-27,2024-02-24,2023-06-03,28.65,94.45,3,0,789,mobile,Jaffna,Sri Lanka,0
C100143,2023-04-10,2024-12-01,2024-01-26,525.19,35.08,1,2,552,mobile,Colombo,Sri Lanka,0
C100144,2022-03-28,2023-09-14,2022-10-28,53.47,41.42,3,0,1007,mobile,Jaffna,Sri Lanka,1
C100145,2022-01-11,2024-03-21,,0.0,0.0,1,0,1297,mobile,Colombo,Sri Lanka,0
C100146,2021-03-25,2022-05-28,2021-11-02,191.71,30.36,1,2,1367,mobile,Kandy,Sri Lanka,0
C100147,2020-10-10,2021-02-02,,0.0,0.0,3,0,1755,mobile,Negombo,Sri Lanka,1
C100148,2022-11-09,2024-01-07,2023-03-17,64.45,24.37,2,2,867,tablet,Jaffna,Sri Lanka,0
C100149,2022-10-07,2023-03-09,,0.0,0.0,2,0,1028,mobile,Matara,Sri Lanka,1
C100150,2020-07-05,2020-12-03,2020-09-28,279.6,34.41,2,2,1767,mobile,Jaffna,Sri Lanka,0
C100151,2024-03-27,2025-10-28,2025-07-04,179.36,12.34,3,2,27,desktop,Kandy,Sri Lanka,0
C100152,2020-04-06,2021-11-29,2020-05-20,81.11,33.54,2,0,1898,mobile,Colombo,Sri Lanka,0
C100153,2020-08-12,2022-03-31,2020-11-26,83.06,37.75,3,1,1708,mobile,Galle,Sri Lanka,0
C100154,2020-11-09,2022-12-25,2022-12-07,17.65,22.61,2,1,967,desktop,Kurunegala,Sri Lanka,0
C100155,2023-07-09,2026-03-22,2023-08-31,23.85,61.94,2,3,700,mobile,Anuradhapura,Sri Lanka,0
C100156,2020-11-23,2023-07-13,2023-06-28,332.97,69.45,2,0,764,mobile,Negombo,Sri Lanka,0
C100157,2024-06-10,2024-09-20,2024-08-17,566.03,63.33,2,1,348,mobile,Jaffna,Sri Lanka,1
C100158,2023-10-25,2026-05-29,,0.0,0.0,2,0,645,desktop,Galle,Sri Lanka,0
C100159,2022-05-14,2022-08-30,2022-06-05,251.98,51.93,3,4,1152,desktop,Matara,Sri Lanka,0
C100160,2023-05-06,2024-12-02,,0.0,0.0,2,0,817,mobile,Jaffna,Sri Lanka,0
C100161,2020-05-10,2022-07-17,,0.0,0.0,1,0,1908,mobile,Colombo,Sri Lanka,0
C100162,2022-02-27,2022-06-10,,0.0,0.0,4,0,1250,desktop,Jaffna,Sri Lanka,0
C100163,2022-02-20,2024-05-04,,0.0,0.0,4,0,1257,mobile,Anuradhapura,Sri Lanka,0
C100164,2023-05-05,2024-02-21,2023-07-24,74.58,27.3,1,1,738,mobile,Kurunegala,Sri Lanka,1
C100165,2022-08-16,2025-01-20,,0.0,0.0,2,0,1080,mobile,Galle,Sri Lanka,0
C100166,2022-12-19,2024-06-19,2023-01-17,20.18,76.05,4,1,926,tablet,Negombo,Sri Lanka,0
C100167,2021-05-29,2023-11-16,2022-10-07,26.52,60.18,1,0,1028,mobile,Kurunegala,Sri Lanka,0
C100168,2023-02-07,2024-01-25,2023-10-28,92.67,50.62,2,0,642,mobile,Colombo,Sri Lanka,0
C100169,2020-01-24,2022-07-10,,0.0,0.0,1,0,2015,mobile,Matara,Sri Lanka,0
C100170,2023-10-25,2024-12-18,,0.0,0.0,1,0,645,mobile,Negombo,Sri Lanka,0
C100171,2024-01-16,2024-10-12,2024-03-15,83.72,72.95,5,1,503,mobile,Colombo,Sri Lanka,1
C100172,2020-08-22,2021-09-18,2020-09-27,264.81,43.5,3,1,1768,mobile,Jaffna,Sri Lanka,0
C100173,2023-10-28,2025-08-28,,0.0,0.0,2,0,642,desktop,Kurunegala,Sri Lanka,0
C100174,2023-01-04,2024-05-15,2024-04-06,13.26,69.49,2,1,481,mobile,Kurunegala,Sri Lanka,0
C100175,2024-03-17,2025-10-23,,0.0,0.0,2,0,501,tablet,Jaffna,Sri Lanka,0
C100176,2021-06-30,2023-03-15,2022-02-25,49.41,77.47,0,1,1252,desktop,Jaffna,Sri Lanka,1
C100177,2024-04-23,2025-08-20,2025-04-27,58.21,33.27,2,1,95,desktop,Colombo,Sri Lanka,0
C100178,2023-08-05,2023-09-12,2023-09-02,63.7,41.05,2,3,698,tablet,Jaffna,Sri Lanka,0
C100179,2021-11-27,2022-05-22,2022-04-27,150.59,26.7,3,2,1191,mobile,Jaffna,Sri Lanka,1
C100180,2020-08-16,2021-05-25,,0.0,0.0,5,0,1810,mobile,Matara,Sri Lanka,0
C100181,2021-08-24,2022-10-10,,0.0,0.0,2,0,1437,mobile,Kurunegala,Sri Lanka,0
C100182,2022-06-09,2022-11-03,2022-08-31,57.85,46.63,2,1,1065,desktop,Galle,Sri Lanka,0
C100183,2020-11-19,2022-08-14,2022-01-22,624.36,46.64,3,2,1286,mobile,Anuradhapura,Sri Lanka,0
C100184,2022-07-18,2024-04-01,,0.0,0.0,4,0,1109,desktop,Colombo,Sri Lanka,0
C100185,2020-01-07,2021-12-04,2020-07-28,150.09,43.02,2,0,1829,mobile,Kandy,Sri Lanka,0
C100186,2024-01-18,2025-12-28,2025-12-11,65.58,55.16,2,1,-133,mobile,Anuradhapura,Sri Lanka,0
C100187,2024-01-13,2025-02-27,,0.0,0.0,1,0,565,desktop,Kandy,Sri Lanka,0
C100188,2021-06-23,2021-08-01,2021-07-13,56.93,46.08,3,0,1479,mobile,Jaffna,Sri Lanka,1
C100189,2022-10-22,2023-12-01,2023-02-16,144.5,48.21,3,2,896,mobile,Colombo,Sri Lanka,0
C100190,2024-04-09,2026-10-06,2026-06-15,75.72,45.06,2,3,-319,desktop,Galle,Sri Lanka,1
C100191,2020-12-31,2023-06-19,2021-04-22,102.73,44.69,3,0,1561,mobile,Jaffna,Sri Lanka,0
C100192,2022-11-05,2023-10-10,2023-04-20,184.24,56.59,5,1,833,mobile,Galle,Sri Lanka,0
C100193,2020-08-05,2022-07-13,2021-03-26,222.49,43.23,1,3,1588,mobile,Kandy,Sri Lanka,0
C100194,2023-07-04,2024-03-03,,0.0,0.0,2,0,758,desktop,Galle,Sri Lanka,0
C100195,2021-09-03,2021-10-23,2021-09-09,9.48,63.43,1,2,1421,desktop,Jaffna,Sri Lanka,0
C100196,2023-08-01,2025-09-02,2024-03-30,27.87,68.71,0,0,488,tablet,Jaffna,Sri Lanka,0
C100197,2022-11-05,2024-03-05,2023-11-17,207.19,59.38,0,1,622,desktop,Kandy,Sri Lanka,0
C100198,2023-06-01,2025-12-29,,0.0,0.0,1,0,791,desktop,Matara,Sri Lanka,0
C100199,2021-02-11,2021-11-13,2021-09-10,499.36,75.57,2,2,1420,mobile,Anuradhapura,Sri Lanka,0
C100200,2020-11-09,2023-05-16,2023-04-18,161.05,55.16,0,0,835,desktop,Negombo,Sri Lanka,0
C100201,2022-02-04,2023-02-20,,0.0,0.0,5,0,1273,mobile,Galle,Sri Lanka,0
C100202,2024-04-10,2024-04-30,,0.0,0.0,3,0,477,tablet,Jaffna,Sri Lanka,0
C100203,2020-11-26,2021-11-06,,0.0,0.0,0,0,1708,mobile,Jaffna,Sri Lanka,0
C100204,2023-01-09,2025-04-25,,0.0,0.0,2,0,934,desktop,Matara,Sri Lanka,0
C100205,2024-05-13,2026-08-03,2024-12-03,132.51,56.31,1,3,240,mobile,Galle,Sri Lanka,1
C100206,2022-12-22,2023-10-28,,0.0,0.0,1,0,952,desktop,Jaffna,Sri Lanka,0
C100207,2020-01-02,2020-11-15,2020-07-12,133.84,9.78,3,1,1845,mobile,Negombo,Sri Lanka,0
C100208,2023-05-11,2024-02-22,,0.0,0.0,2,0,812,mobile,Negombo,Sri Lanka,0
C100209,2021-10-25,2024-03-06,2022-06-07,300.94,28.66,2,3,1150,mobile,Anuradhapura,Sri Lanka,0
C100210,2022-09-27,2024-02-12,,0.0,0.0,0,0,1038,mobile,Jaffna,Sri Lanka,0
C100211,2020-02-09,2022-07-06,,0.0,0.0,0,0,1999,mobile,Negombo,Sri Lanka,0
C100212,2020-08-17,2022-07-30,2020-10-31,144.83,5.0,2,1,1734,mobile,Anuradhapura,Sri Lanka,1
C100213,2022-01-13,2023-12-15,,0.0,0.0,3,0,1295,mobile,Kandy,Sri Lanka,1
C100214,2024-07-10,2024-10-18,2024-09-08,22.16,75.27,2,3,326,desktop,Kurunegala,Sri Lanka,0
C100215,2021-09-21,2024-06-12,2023-05-13,131.19,57.62,1,0,810,mobile,Matara,Sri Lanka,1
C100216,2021-05-05,2023-10-11,,0.0,0.0,2,0,1548,mobile,Matara,Sri Lanka,0
C100217,2020-04-28,2020-12-17,2020-08-30,289.47,55.27,0,1,1796,desktop,Galle,Sri Lanka,1
C100218,2021-05-08,2021-09-22,2021-05-21,105.38,34.35,1,1,1532,desktop,Anuradhapura,Sri Lanka,0
C100219,2023-03-07,2024-01-08,,0.0,0.0,0,0,877,mobile,Anuradhapura,Sri Lanka,0
C100220,2020-06-10,2023-03-04,2022-12-08,79.35,28.19,0,2,966,mobile,Matara,Sri Lanka,0
C100221,2020-06-24,2022-07-25,2021-09-13,291.26,26.54,2,1,1417,tablet,Matara,Sri Lanka,0
C100222,2024-02-07,2025-05-05,2024-04-21,334.03,13.75,1,2,466,mobile,Galle,Sri Lanka,0
C100223,2022-09-22,2024-11-22,,0.0,0.0,2,0,1043,mobile,Anuradhapura,Sri Lanka,0
C100224,2024-07-29,2026-11-21,2025-03-07,256.21,34.42,2,1,146,mobile,Colombo,Sri Lanka,0
C100225,2020-05-21,2021-04-14,2021-03-29,97.8,53.73,2,1,1585,desktop,Matara,Sri Lanka,0
C100226,2024-04-06,2025-01-06,2024-11-24,45.72,63.08,1,0,249,desktop,Matara,Sri Lanka,0
C100227,2022-12-26,2025-01-10,2023-06-26,71.4,39.16,0,2,766,desktop,Kandy,Sri Lanka,0
C100228,2024-04-17,2025-06-17,2024-11-01,87.93,13.74,3,2,272,desktop,Negombo,Sri Lanka,1
C100229,2020-09-14,2022-05-26,2021-10-01,160.7,60.31,5,1,1399,mobile,Galle,Sri Lanka,0
C100230,2020-09-19,2022-07-12,2021-02-05,69.13,41.16,2,1,1637,desktop,Galle,Sri Lanka,0
C100231,2023-09-13,2023-12-13,2023-11-10,430.7,23.75,0,2,629,mobile,Negombo,Sri Lanka,0
C100232,2022-08-31,2023-03-11,,0.0,0.0,1,0,1065,mobile,Matara,Sri Lanka,0
C100233,2023-01-30,2024-04-26,,0.0,0.0,3,0,913,desktop,Anuradhapura,Sri Lanka,0
C100234,2020-12-04,2021-07-08,2021-06-06,77.85,53.57,1,1,1516,mobile,Negombo,Sri Lanka,0
C100235,2021-06-26,2024-01-17,2022-01-10,35.77,77.31,4,2,1298,mobile,Anuradhapura,Sri Lanka,0
C100236,2022-12-16,2025-04-07,,0.0,0.0,0,0,958,desktop,Negombo,Sri Lanka,0
C100237,2023-05-27,2024-07-16,2024-04-14,231.67,38.55,1,2,473,mobile,Matara,Sri Lanka,1
C100238,2022-05-16,2024-06-12,,0.0,0.0,5,0,1172,desktop,Anuradhapura,Sri Lanka,0
C100239,2021-03-09,2022-07-18,2021-09-08,36.47,67.14,1,1,1422,mobile,Kandy,Sri Lanka,0
C100240,2023-01-09,2025-02-24,,0.0,0.0,3,0,934,desktop,Kurunegala,Sri Lanka,0
C100241,2024-03-26,2025-09-05,,0.0,0.0,0,0,492,desktop,Galle,Sri Lanka,0
C100242,2024-02-03,2026-07-10,2024-11-05,226.28,42.59,2,1,268,mobile,Anuradhapura,Sri Lanka,1
C100243,2023-11-13,2024-11-29,2024-02-24,72.94,23.93,5,1,523,mobile,Jaffna,Sri Lanka,1
